RULES: ('WEEK_49',) => ('DENGUE_HIGH',) : 0.7222
RULES: ('WEEK_48',) => ('DENGUE_HIGH',) : 0.7333
RULES: ('WEEK_2',) => ('DENGUE_LOW',) : 0.7143
RULES: ('WEEK_9',) => ('DENGUE_LOW',) : 0.7
RULES: ('WEEK_44',) => ('DENGUE_LOW',) : 0.75
RULES: ('WEEK_43',) => ('DENGUE_LOW',) : 0.75
RULES: ('WEEK_33', 'TEMPN_WARM') => ('DENGUE_LOW',) : 0.8
RULES: ('POV_MILDLY NORMAL', 'SOI_LOW') => ('DENGUE_LOW',) : 0.7027
RULES: ('POV_POOR', 'WEEK_27') => ('SSTA_COLD',) : 0.8889
RULES: ('DENGUE_LOW', 'WEEK_23') => ('POV_NORMAL',) : 0.7273
RULES: ('SOI_LA NINA', 'WEEK_47') => ('DENGUE_HIGH',) : 0.7273
RULES: ('POPD_DENSE', 'TWIND_MODERATELY WEAK') => ('DENGUE_LOW',) : 0.75
RULES: ('WEEK_40', 'NDVI_GREEN') => ('DENGUE_HIGH',) : 0.8
RULES: ('WEEK_22', 'POLS_VERY STABLE') => ('DENGUE_LOW',) : 0.8
RULES: ('NDVI_GREEN', 'WEEK_16') => ('DENGUE_HIGH',) : 0.8
RULES: ('RAINFALL_LARGE', 'NDVI_GREENEST') => ('DENGUE_LOW',) : 0.7273
RULES: ('EVI_DENSEST', 'WEEK_46') => ('DENGUE_LOW',) : 0.9091
RULES: ('WEEK_9', 'EVI_DENSE') => ('DENGUE_LOW',) : 0.8
RULES: ('WEEK_16', 'TEMPN_HOT') => ('DENGUE_HIGH',) : 0.8
RULES: ('WEEK_3', 'POPD_LOWLY DENSE') => ('DENGUE_HIGH',) : 0.7273
RULES: ('POLS_STABLE', 'SOI_LA NINA') => ('DENGUE_LOW',) : 0.7049
RULES: ('WEEK_16', 'TEMPS_HOT') => ('DENGUE_HIGH',) : 0.8182
RULES: ('TWIND_MODERATELY STRONG', 'RAINFALL_LARGE') => ('DENGUE_LOW',) : 0.72
RULES: ('POPD_DENSE', 'WEEK_27') => ('NDVI_LESS GREEN',) : 1.0
RULES: ('POLS_VERY UNSTABLE', 'WEEK_39') => ('DENGUE_HIGH',) : 0.8
RULES: ('DENGUE_HIGH', 'WEEK_39') => ('POLS_VERY UNSTABLE',) : 0.8
RULES: ('WEEK_44', 'TDIST_FAR') => ('DENGUE_LOW',) : 0.8182
RULES: ('WEEK_44', 'POV_NORMAL') => ('DENGUE_LOW',) : 1.0
RULES: ('WEEK_16', 'TWIND_WEAK') => ('DENGUE_HIGH',) : 0.9
RULES: ('NDVI_GREENER', 'RAINFALL_SMALL', 'TWIND_WEAK') => ('POV_NORMAL',) : 0.8182
RULES: ('POV_MILDLY POOR', 'RAINFALL_LARGE', 'ALT_LOW') => ('DENGUE_LOW',) : 0.7692
RULES: ('POPD_HIGHLY DENSE', 'EVI_LESS DENSE', 'NDVI_GREENEST') => ('DENGUE_LOW',) : 0.7778
RULES: ('EVI_DENSEST', 'POPD_DENSE', 'SOI_HIGH') => ('NDVI_GREEN',) : 0.7273
RULES: ('POPD_HIGHLY DENSE', 'POLS_STABLE', 'RAINFALL_LARGE') => ('DENGUE_LOW',) : 0.8182
RULES: ('TEMPN_HOT', 'POV_NORMAL', 'SOI_EL NINO') => ('DENGUE_HIGH',) : 0.75
RULES: ('POLS_VERY UNSTABLE', 'POPD_LESS DENSE', 'TEMPN_COLD') => ('ALT_NORMAL',) : 0.7273
RULES: ('SSTA_WARM', 'POLS_VERY STABLE', 'RAINFALL_SMALL') => ('DENGUE_HIGH',) : 0.7222
RULES: ('TEMPN_NORMAL', 'SSTA_WARM', 'POV_MILDLY NORMAL') => ('DENGUE_LOW',) : 0.7273
RULES: ('POLS_STABLE', 'ALT_HIGH', 'SOI_LA NINA') => ('DENGUE_LOW',) : 0.7857
RULES: ('TDIST_MIDDLING FAR', 'TEMPN_WARM', 'NDVI_GREENEST') => ('DENGUE_LOW',) : 0.8182
RULES: ('ALT_HIGH', 'TDIST_FAR', 'TEMPN_COLD') => ('DENGUE_LOW',) : 0.8571
RULES: ('TEMPN_NORMAL', 'POPD_HIGHLY DENSE', 'ALT_LOW') => ('DENGUE_LOW',) : 0.75
RULES: ('ALT_LOW', 'POPD_LESS DENSE', 'POV_MILDLY NORMAL') => ('DENGUE_LOW',) : 0.7692
RULES: ('TEMPN_NORMAL', 'POLS_STABLE', 'TEMPS_HOT') => ('DENGUE_HIGH',) : 0.8
RULES: ('TEMPN_HOT', 'POLS_UNSTABLE', 'SSTA_WARM') => ('NDVI_LESS GREEN',) : 0.7333
RULES: ('POLS_VERY UNSTABLE', 'TEMPS_COLD', 'TDIST_MIDDLING FAR') => ('DENGUE_LOW',) : 0.75
RULES: ('RAINFALL_MEDIUM', 'ALT_HIGH', 'SOI_EL NINO') => ('TWIND_WEAK',) : 0.7273
RULES: ('SSTA_COLD', 'POLS_STABLE', 'EVI_DENSE') => ('POV_POOR',) : 0.8
RULES: ('TEMPS_COLD', 'POPD_DENSE', 'EVI_LESS DENSE') => ('DENGUE_LOW',) : 0.7222
RULES: ('EVI_DENSEST', 'TWIND_MODERATELY STRONG', 'SSTA_HOT') => ('DENGUE_LOW',) : 0.7826
RULES: ('ALT_LOW', 'TEMPS_WARM', 'SOI_EL NINO') => ('DENGUE_LOW',) : 0.7
RULES: ('TDIST_MIDDLING FAR', 'EVI_LESS DENSE', 'SOI_LOW') => ('SSTA_COLD',) : 0.7273
RULES: ('POLS_UNSTABLE', 'SOI_LA NINA', 'RAINFALL_SMALL') => ('DENGUE_LOW',) : 0.7857
RULES: ('SOI_HIGH', 'EVI_LESS DENSE', 'RAINFALL_VERY LARGE') => ('DENGUE_LOW',) : 0.7222
RULES: ('TDIST_MIDDLING FAR', 'POV_NORMAL', 'TWIND_WEAK') => ('DENGUE_LOW',) : 0.75
RULES: ('EVI_LESS DENSE', 'RAINFALL_LARGE', 'TWIND_WEAK') => ('DENGUE_LOW',) : 0.8421
RULES: ('TDIST_DIRECT HIT', 'RAINFALL_LARGE', 'ALT_LOW') => ('DENGUE_LOW',) : 0.7222
RULES: ('POPD_LESS DENSE', 'TEMPN_COLD', 'SOI_EL NINO') => ('DENGUE_LOW',) : 0.7222
RULES: ('POPD_HIGHLY DENSE', 'POLS_UNSTABLE', 'POV_NORMAL') => ('DENGUE_LOW',) : 0.75
RULES: ('SSTA_WARM', 'ALT_NORMAL', 'TDIST_NEAR') => ('DENGUE_LOW',) : 0.8333
RULES: ('POV_NORMAL', 'TEMPS_WARM', 'SOI_EL NINO') => ('DENGUE_HIGH',) : 0.7059
RULES: ('ALT_TALL', 'EVI_DENSEST', 'POLS_VERY STABLE') => ('NDVI_GREEN',) : 0.75
RULES: ('EVI_DENSEST', 'POLS_STABLE', 'TEMPS_WARM') => ('DENGUE_HIGH',) : 0.7692
RULES: ('TDIST_DIRECT HIT', 'SSTA_WARM', 'TEMPN_WARM') => ('DENGUE_HIGH',) : 0.7391
RULES: ('ALT_TALL', 'POLS_VERY UNSTABLE', 'SSTA_COLD') => ('DENGUE_HIGH',) : 0.7143
RULES: ('TWIND_MODERATELY WEAK', 'RAINFALL_SMALL', 'SSTA_HOT') => ('DENGUE_LOW',) : 0.7059
RULES: ('EVI_DENSER', 'NDVI_LESS GREEN', 'TEMPS_COLD') => ('DENGUE_HIGH',) : 0.7143
RULES: ('TEMPN_NORMAL', 'TEMPS_COLD', 'TWIND_MODERATELY STRONG') => ('TDIST_DIRECT HIT',) : 0.7273
RULES: ('ALT_LOW', 'POV_MILDLY NORMAL', 'SSTA_HOT') => ('DENGUE_LOW',) : 0.7222
RULES: ('DENGUE_LOW', 'TWIND_MODERATELY WEAK', 'SOI_LOW') => ('POV_NORMAL',) : 0.8571
RULES: ('ALT_TALL', 'POLS_VERY UNSTABLE', 'TDIST_NEAR') => ('SSTA_HOT',) : 0.8
RULES: ('ALT_TALL', 'POLS_UNSTABLE', 'EVI_LESS DENSE') => ('DENGUE_LOW',) : 0.8
RULES: ('TDIST_MIDDLING FAR', 'POV_MILDLY POOR', 'POLS_VERY UNSTABLE') => ('EVI_LESS DENSE',) : 0.8889
RULES: ('TEMPS_NORMAL', 'TDIST_FAR', 'POV_MILDLY NORMAL') => ('DENGUE_LOW',) : 0.7059
