region,month_no,popdensity,ssta,soi,typhoon_distance,typhoon_wind,rainfall,poverty,ndvi,evi,daily_temp,nightly_temp,polstab,dengue,dengue_next
IX,11,367.4120288,25.44999981,-0.7375,7.117556849,31.34782609,1.333115827,12786.95898,8202.791667,5124.791667,15248.08333,14795.89385,-0.052230826,14,18
V,8,2106.024305,25.44999981,-0.56875,20.94037062,60.62420635,0.528320833,13185.27474,7474,5357.708333,8398,13247.54966,-0.080951725,207,151
XI,12,416.5140279,24.55999985,-0.32,3.849703993,11.02845745,3.0964875,13562.44726,7200.15,5020.6,14543.25873,11853.82121,-0.087687304,72,123
I,9,372.9403944,24.94999981,-0.0625,24.68453217,67.76515151,1.09476875,14512.18652,7747.5,6048.75,15368.48809,14899.125,-0.068146767,117,104
II,6,241.7222028,26.5,0.1125,-1,-1,1.23915625,13819.59017,6322.958333,4643.75,7993.253473,7561.256579,-0.092324385,110,322
I,7,369.0082381,26.1500001,-0.51875,17.01683999,61.5497489,1.354325,14512.18652,7116.375,4712.375,15610.8,7440.916668,-0.081772585,31,42
VI,12,674.0513887,26.45999985,-0.74,11.58566432,31.10289856,0.579345,12529.30013,7127.055556,5016.988889,15204.13884,14830.45045,-0.077238993,25,48
X,1,448.4887428,25.87999992,-1.06,4.029756421,7.716129032,3.80482,12926.38639,7241.266667,5109.233333,11141.94667,14581.20198,-0.051757035,471,366
XI,1,442.5695775,24.92000008,1.06,-1,-1,3.423975,13610.38271,5978.4,4251.35,11949.00833,10274,-0.035320015,152,132
V,7,2152.13809,25.42500019,-0.425,5.415088667,9.597222223,1.186076042,13185.27474,6000.520833,3920.541667,8318.140278,10663.28733,-0.057158113,173,173
IX,1,359.3544142,26.42499972,-0.3875,6.400345963,8.403225808,1.342558843,12786.95898,7964.958333,5175.583333,15201.85417,13646.70907,-0.067107047,66,53
IX,8,370.6854347,25.25000047,-0.0375,21.03085666,63.6910636,0.598740845,12786.95898,7122.166667,5157.083333,13050.65278,2519.916667,-0.040912665,338,227
XIII,9,344.1077509,25.54000015,-0.52,18.12809419,42.86078947,0.662535,14437.67285,7606.366667,5729.266667,14523.17338,8142.9,-0.080015646,16,17
III,12,1081.761848,25.75,-0.3875,17.69353732,36.32221574,1.568985,13843.37539,6954.925,4270.225,15093.35429,13902.98334,-0.051110161,169,364
XII,1,272.9338003,25.82500029,-0.3625,2.542798513,8.681818183,3.42809375,12567.88526,7761.270833,4924.25,13327.91458,13051.42422,-0.097857244,45,23
XII,12,272.6116098,25.5250001,0.2,-1,-1,2.4910625,12567.88526,7639.6875,5310.25,11471.72917,9458.4375,-0.064942622,1,45
XIII,10,341.1280898,24.44999981,0.2625,-1,-1,0.4835,14437.67285,7875.791667,5025.416667,15312.04621,11251.44475,-0.089226277,40,28
I,1,367.3322371,25.02499962,0.6625,-1,-1,0.9496625,14512.18652,5196.75,3092.375,15372.41072,14822.59896,-0.087570089,1,4
IX,1,350.6253317,24.9000001,1.2625,-1,-1,1.871139987,12786.95898,7824.333333,5455.916667,15257.48611,8958.523809,-0.095659922,23,22
I,1,377.4204741,25.87999992,-1.06,4.932110734,7.716129032,1.985435,14512.18652,5146.2,3213.3,15356.72143,14625.565,-0.051757035,13,10
CAR,2,181.8291832,25.87499953,1.4,-1,-1,1.15184375,14291.15308,7181.739583,4085.145833,13107.21302,14261.08086,-0.095047959,8,6
II,8,249.4502755,25.09999962,0.02,7.65470003,38.99189189,0.209296667,13819.59017,6257.266667,4719.3,14447.35667,3978.862222,-0.069231491,629,756
VIII,10,492.7516717,25.75000047,-0.4375,150.8677302,38.48294788,1.526854167,11980.20573,6603.208333,4894.166667,12879.55556,14860.40456,-0.079067001,99,34
XIII,3,352.293978,26.875,-0.0375,1.537525228,11.08823529,0.57595,14437.67285,6929,4919.833333,14003.88313,13599.85844,-0.047404139,137,66
VIII,10,488.5012539,24.44999981,0.2625,-1,-1,0.724175,11980.20573,6154.083333,4481.625,12652.12917,11256.52402,-0.089226277,26,0
II,12,250.6418286,25.5250001,0.2,-1,-1,0.76363125,13819.59017,5990,3993.583333,8760.493056,13134.6202,-0.064942622,81,32
XII,7,266.6510854,26.1500001,-0.51875,22.07854108,61.5497489,1.399696875,12567.88526,6712.5625,4846.5625,15353.02083,14863.60633,-0.081772585,67,53
XIII,2,345.4564397,26.57499981,-0.55,-1,-1,0.8308375,14437.67285,6885.166667,4800,13873.57222,14761.66361,-0.075365421,34,38
VII,10,1066.737979,25.32499981,-0.1125,17.92870957,53.54285714,0.99645625,15064.20898,7752.625,6650.25,15274.27084,10970.60227,-0.067171899,648,508
CAR,2,190.2313136,25.99999953,0.7375,-1,-1,3.328775,14418.90839,7639.697917,3914.125,13294.3401,14302.44186,-0.032891771,9,13
XII,10,267.6982046,25.75000048,-0.4375,151.7519354,38.48294788,1.408934375,12567.88526,7511,4907.875,15463.26042,11101.28864,-0.079067001,31,2
CAR,11,183.0846739,24.34999943,0.1375,-1,-1,3.080917188,14291.15308,7381.125,3914.614583,10236.58854,14238.45833,-0.088508188,18,5
CAR,9,189.523088,24.625,0.7,14.80149941,65.51662234,1.720410937,14291.15308,7718.25,5096.46875,10369.65104,14497.85149,-0.03970309,192,99
VI,4,693.2639973,27.59999991,-0.675,2.497584524,15.93269231,1.204020833,12529.30013,5551.5,3706.5,15462.05198,14899.87963,-0.046244306,11,40
VII,6,1039.856543,27.13999977,-0.32,10.85454243,31.54166667,3.791225,15064.20898,4876,2838,15244.32333,11861.68081,-0.082683391,90,239
XII,12,268.3828594,26.45999985,-0.74,11.06210531,31.10289856,1.2047775,12567.88526,7970.683333,4785.816667,15217.96,14862.62323,-0.077238993,2,69
VIII,10,505.5437944,24.6800003,0.64,22.89801706,69.96132376,0.635088333,11980.20573,5431.7,4136.033333,11089.28667,14015.27419,-0.03833144,81,7
V,4,2170.122467,27.59999991,-0.675,2.175030972,15.93269231,1.97783125,13185.27474,7111.75,4944.375,15294.50486,14805.6024,-0.046244306,19,23
V,12,2186.262291,24.1500001,0.6375,2.717001547,7.5,5.556998958,13185.27474,5332.5,3493.75,5039.784722,6740.0125,-0.03571049,7,7
VI,10,680.929977,25.32499981,-0.1125,17.93234628,53.54285714,0.563691667,12529.30013,6853.75,4952.208333,12853.57917,10149.43983,-0.067171899,84,53
I,4,364.7860047,27.52000046,-0.08,-1,-1,2.427975,14512.18652,6048.3,4014.4,15561.35595,15002.63208,-0.09371067,9,14
VII,3,1115.47267,26.45000028,1.5375,2.717194558,6.984375,2.641,15245.20239,6800.083333,5078.208333,15147.90833,14864.05256,-0.031624789,124,72
VII,11,1088.784625,25.44999981,-0.7375,6.7375885,31.34782609,0.7175875,15064.20898,7119.625,4723.375,15087,14753.85796,-0.052230826,315,223
VIII,9,496.6751342,24.94999981,-0.0625,26.31533066,67.76515151,1.090066667,11980.20573,6158.375,4545.083333,11395.11111,11337.21617,-0.068146767,122,130
VII,2,1053.200565,26.57499981,-0.55,-1,-1,0.9921125,15064.20898,5819,4271,11301,14629.7393,-0.075365421,196,192
IX,9,362.2920862,24.94999981,-0.0625,29.88568275,67.76515151,1.588357438,12786.95898,8330.375,6435.541667,11664.58333,5011.083333,-0.068146767,86,48
CAR,7,189.2494554,26.07999992,5.55E-18,9.793437273,29.25222875,1.23199875,14291.15308,7764.075,4896.15,14258.3825,10920.03665,-0.042262508,60,154
X,7,451.3916004,26.07999992,5.55E-18,11.16656954,29.25222875,1.651973333,12926.38639,5890.9,4330.033333,9169.766667,3011.333333,-0.042262508,568,708
VII,1,1011.427973,24.9000001,1.2625,-1,-1,2.68530625,15064.20898,6572.25,4850.875,14898.25,11116.875,-0.095659922,309,222
VIII,2,485.6403958,25.87499953,1.4,-1,-1,3.847222917,11980.20573,7224.527778,5331.472222,7582.160714,11083.87137,-0.095047958,46,64
XIII,1,351.7607754,25.87999992,-1.06,3.781039348,7.716129032,2.30297,14437.67285,7361.233333,4924.033333,15113.31032,13674.43765,-0.051757035,383,183
XI,12,442.0191081,24.1500001,0.6375,3.109861523,7.5,4.588375,13562.44726,5230,3765.75,9765.425,9204.0625,-0.03571049,38,152
V,7,2104.179753,26.1500001,-0.51875,18.11958159,61.5497489,0.962592708,13185.27474,7624.479167,5297.895833,11628.88542,12156.09377,-0.081772585,172,207
VI,1,682.985647,25.82500029,-0.3625,2.375682923,8.681818183,2.910452083,12529.30013,6542.652778,4363.458333,15285.81667,14825.04969,-0.097857243,46,26
